_id,email,password,username,sex,dob,height,weight,currentLocation,fromLocation,jobTitle,bloodType,mbti,relationshipStatus,zodiacSign
bc2f842e-daa8-4665-970a-43eb0b221593,sf0ppm.fm730@yeah.net,o2tmGfBcSllevmH,董1732,male,2000-11-01,177,75,山东省,山东省,Product Tactics Orchestrator,A+,INTJ,Divorced,Scorpio
323aaf27-16aa-4e52-8005-fd40f221f4de,k5mmd2_pvp19@163.com,jEzTpmQZngxWgdM,郑4584,male,1990-10-30,175,63,澳门特别行政区,重庆市,Product Markets Producer,O+,ISFP,Single,Scorpio
0e9899f3-2b4b-4f3f-bd96-e8c6802a75f6,hm1i2v65@yahoo.com.cn,08nRWFqcjRPOEgo,徐7786,male,1994-02-04,191,70,吉林省,天津市,Corporate Markets Engineer,A+,ESFP,Single,Aquarius
4242b246-71fd-4cab-a581-d17d4f399fb9,kutqrx.puu@yahoo.cn,i3WXKCkZzNS5X3H,胡5484,female,2000-01-22,164,64,内蒙古自治区,云南省,Human Creative Planner,AB+,INFP,Single,Aquarius
5fbc5e8c-acba-4dbf-b326-53e622decd41,k8qscp.ghb@21cn.com,wI3Od_3n43aEreR,唐6005,male,1999-09-07,181,72,台湾省,美国,International Tactics Technician,O+,ISTP,Divorced,Virgo
2788d2f5-1e1f-42c0-a12e-11e14b164fca,k18to3_p4a@sohu.com,i4DCTxojm3lGHK8,肖121,female,1988-01-22,162,48,北京市,辽宁省,Senior Applications Planner,O-,ENFP,Single,Aquarius
adc9c5a5-04a0-42e1-93c6-127bb9f88238,lzbmd219@126.com,xr_Ml5NHBGJMn5W,蔡6836,male,1980-12-16,174,79,肯尼亚,安徽省,Senior Configuration Supervisor,O+,ESFP,Single,Sagittarius
6d9880bf-59e5-4217-bae0-4d4e76688a10,ssxtbf_m0d@163.com,ukF4O7uqTwK8_i6,曾2132,male,2004-08-27,176,67,海南省,澳门特别行政区,Internal Accountability Agent,B+,ENTJ,Single,Virgo
da4084af-87b9-467a-9086-11cd84afca30,jwupu5_i6y49@sohu.com,WmM9uagH39zqTrV,胡86,male,2002-03-25,182,68,辽宁省,台湾省,Dynamic Research Designer,O+,INFP,Divorced,Aries
ea8f61b6-47cd-4369-b591-834f0c7cfebf,vacsbt.hqj@yahoo.cn,Ed_UsIE_EncFDSX,余497,male,1988-06-01,164,68,台湾省,内蒙古自治区,Senior Web Administrator,O+,ISTP,Single,Gemini
01cc17fa-0894-4d98-8423-61cc41e0bfa6,feog2w_jec@hotmail.com,4DEkrBSw8OyHjgA,郭6106,female,2001-01-19,162,84,河北省,陕西省,Human Configuration Officer,O+,ENFJ,Single,Capricorn
74dce842-8555-49ac-98b5-21c097fbab63,jlbi46_lfn@gmail.com,73uWXwEW0sFyykv,孙2087,female,1995-05-17,167,78,浙江省,黑龙江省,Lead Paradigm Producer,A+,INFJ,Single,Taurus
